geo,year,zev_q1,zev_q2,zev_q3,zev_q4,quarters_present,zev_q1i,zev_q2i,zev_q3i,zev_q4i,annual_complete,annual_imputed,final_annual,final_method
Alberta,2017,,,,,0,,,,,,,,missing
Alberta,2018,,,,,0,,,,,,,,missing
Alberta,2019,,,,,0,,,,,,,,missing
Alberta,2020,,,,,0,,,,,,,,missing
Alberta,2021,,,,,0,,,,,,,,missing
Alberta,2022,,,,,0,,,,,,,,missing
Alberta,2023,,,,,0,,,,,,,,missing
Alberta,2024,,,,,0,,,,,,,,missing
British Columbia,2017,785.0,761.0,806.0,790.0,4,785.0,761.0,806.0,790.0,3142.0,3142.0,3142.0,complete_year
British Columbia,2018,1367.0,2463.0,2451.0,2041.0,4,1367.0,2463.0,2451.0,2041.0,8322.0,8322.0,8322.0,complete_year
British Columbia,2019,2793.0,6481.0,4498.0,3192.0,4,2793.0,6481.0,4498.0,3192.0,16964.0,16964.0,16964.0,complete_year
British Columbia,2020,3704.0,2591.0,4506.0,4384.0,4,3704.0,2591.0,4506.0,4384.0,15185.0,15185.0,15185.0,complete_year
British Columbia,2021,6128.0,5739.0,6449.0,5550.0,4,6128.0,5739.0,6449.0,5550.0,23866.0,23866.0,23866.0,complete_year
British Columbia,2022,6688.0,7072.0,8262.0,7565.0,4,6688.0,7072.0,8262.0,7565.0,29587.0,29587.0,29587.0,complete_year
British Columbia,2023,8107.0,10954.0,13418.0,10969.0,4,8107.0,10954.0,13418.0,10969.0,43448.0,43448.0,43448.0,complete_year
British Columbia,2024,10088.0,12081.0,12812.0,10585.0,4,10088.0,12081.0,12812.0,10585.0,45566.0,45566.0,45566.0,complete_year
Manitoba,2017,10.0,16.0,16.0,12.0,4,10.0,16.0,16.0,12.0,54.0,54.0,54.0,complete_year
Manitoba,2018,15.0,49.0,40.0,55.0,4,15.0,49.0,40.0,55.0,159.0,159.0,159.0,complete_year
Manitoba,2019,26.0,96.0,98.0,67.0,4,26.0,96.0,98.0,67.0,287.0,287.0,287.0,complete_year
Manitoba,2020,65.0,65.0,101.0,81.0,4,65.0,65.0,101.0,81.0,312.0,312.0,312.0,complete_year
Manitoba,2021,100.0,155.0,194.0,183.0,4,100.0,155.0,194.0,183.0,632.0,632.0,632.0,complete_year
Manitoba,2022,201.0,233.0,314.0,298.0,4,201.0,233.0,314.0,298.0,1046.0,1046.0,1046.0,complete_year
Manitoba,2023,262.0,383.0,577.0,376.0,4,262.0,383.0,577.0,376.0,1598.0,1598.0,1598.0,complete_year
Manitoba,2024,460.0,736.0,866.0,889.0,4,460.0,736.0,866.0,889.0,2951.0,2951.0,2951.0,complete_year
New Brunswick,2017,5.0,7.0,6.0,8.0,4,5.0,7.0,6.0,8.0,26.0,26.0,26.0,complete_year
New Brunswick,2018,10.0,16.0,9.0,21.0,4,10.0,16.0,9.0,21.0,56.0,56.0,56.0,complete_year
New Brunswick,2019,12.0,61.0,54.0,39.0,4,12.0,61.0,54.0,39.0,166.0,166.0,166.0,complete_year
New Brunswick,2020,37.0,31.0,66.0,46.0,4,37.0,31.0,66.0,46.0,180.0,180.0,180.0,complete_year
New Brunswick,2021,67.0,117.0,182.0,107.0,4,67.0,117.0,182.0,107.0,473.0,473.0,473.0,complete_year
New Brunswick,2022,157.0,204.0,252.0,248.0,4,157.0,204.0,252.0,248.0,861.0,861.0,861.0,complete_year
New Brunswick,2023,220.0,458.0,536.0,532.0,4,220.0,458.0,536.0,532.0,1746.0,1746.0,1746.0,complete_year
New Brunswick,2024,468.0,799.0,769.0,791.0,4,468.0,799.0,769.0,791.0,2827.0,2827.0,2827.0,complete_year
Newfoundland and Labrador,2017,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2018,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2019,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2020,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2021,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2022,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2023,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2024,,,,,0,,,,,,,,missing
Northwest Territories,2017,1.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,complete_year
Northwest Territories,2018,0.0,0.0,2.0,1.0,4,0.0,0.0,2.0,1.0,3.0,3.0,3.0,complete_year
Northwest Territories,2019,0.0,1.0,0.0,1.0,4,0.0,1.0,0.0,1.0,2.0,2.0,2.0,complete_year
Northwest Territories,2020,0.0,0.0,5.0,2.0,4,0.0,0.0,5.0,2.0,7.0,7.0,7.0,complete_year
Northwest Territories,2021,2.0,3.0,6.0,5.0,4,2.0,3.0,6.0,5.0,16.0,16.0,16.0,complete_year
Northwest Territories,2022,8.0,7.0,6.0,6.0,4,8.0,7.0,6.0,6.0,27.0,27.0,27.0,complete_year
Northwest Territories,2023,2.0,10.0,12.0,9.0,4,2.0,10.0,12.0,9.0,33.0,33.0,33.0,complete_year
Northwest Territories,2024,4.0,12.0,16.0,13.0,4,4.0,12.0,16.0,13.0,45.0,45.0,45.0,complete_year
Nova Scotia,2017,6.0,9.0,8.0,8.0,4,6.0,9.0,8.0,8.0,31.0,31.0,31.0,complete_year
Nova Scotia,2018,14.0,13.0,24.0,29.0,4,14.0,13.0,24.0,29.0,80.0,80.0,80.0,complete_year
Nova Scotia,2019,18.0,42.0,61.0,39.0,4,18.0,42.0,61.0,39.0,160.0,160.0,160.0,complete_year
Nova Scotia,2020,54.0,31.0,67.0,97.0,4,54.0,31.0,67.0,97.0,249.0,249.0,249.0,complete_year
Nova Scotia,2021,86.0,175.0,196.0,172.0,4,86.0,175.0,196.0,172.0,629.0,629.0,629.0,complete_year
Nova Scotia,2022,144.0,206.0,310.0,312.0,4,144.0,206.0,310.0,312.0,972.0,972.0,972.0,complete_year
Nova Scotia,2023,280.0,450.0,629.0,612.0,4,280.0,450.0,629.0,612.0,1971.0,1971.0,1971.0,complete_year
Nova Scotia,2024,494.0,694.0,751.0,870.0,4,494.0,694.0,751.0,870.0,2809.0,2809.0,2809.0,complete_year
Nunavut,2017,,,,,0,,,,,,,,missing
Nunavut,2018,,,,,0,,,,,,,,missing
Nunavut,2019,,,,,0,,,,,,,,missing
Nunavut,2020,,,,,0,,,,,,,,missing
Nunavut,2021,,,,,0,,,,,,,,missing
Nunavut,2022,,0.0,0.0,0.0,3,,0.0,0.0,0.0,,0.0,0.0,imputed_internal
Nunavut,2023,0.0,1.0,1.0,1.0,4,0.0,1.0,1.0,1.0,3.0,3.0,3.0,complete_year
Nunavut,2024,1.0,1.0,0.0,1.0,4,1.0,1.0,0.0,1.0,3.0,3.0,3.0,complete_year
Ontario,2017,1320.0,2089.0,2129.0,2640.0,4,1320.0,2089.0,2129.0,2640.0,8178.0,8178.0,8178.0,complete_year
Ontario,2018,2747.0,6949.0,5178.0,1886.0,4,2747.0,6949.0,5178.0,1886.0,16760.0,16760.0,16760.0,complete_year
Ontario,2019,1343.0,2875.0,3149.0,2278.0,4,1343.0,2875.0,3149.0,2278.0,9645.0,9645.0,9645.0,complete_year
Ontario,2020,1712.0,1761.0,3568.0,3476.0,4,1712.0,1761.0,3568.0,3476.0,10517.0,10517.0,10517.0,complete_year
Ontario,2021,3362.0,5148.0,5171.0,6129.0,4,3362.0,5148.0,5171.0,6129.0,19810.0,19810.0,19810.0,complete_year
Ontario,2022,7124.0,9534.0,11013.0,10991.0,4,7124.0,9534.0,11013.0,10991.0,38662.0,38662.0,38662.0,complete_year
Ontario,2023,8520.0,12797.0,14710.0,14105.0,4,8520.0,12797.0,14710.0,14105.0,50132.0,50132.0,50132.0,complete_year
Ontario,2024,11026.0,14370.0,15946.0,15251.0,4,11026.0,14370.0,15946.0,15251.0,56593.0,56593.0,56593.0,complete_year
Prince Edward Island,2017,0.0,0.0,1.0,5.0,4,0.0,0.0,1.0,5.0,6.0,6.0,6.0,complete_year
Prince Edward Island,2018,5.0,5.0,5.0,1.0,4,5.0,5.0,5.0,1.0,16.0,16.0,16.0,complete_year
Prince Edward Island,2019,6.0,11.0,15.0,11.0,4,6.0,11.0,15.0,11.0,43.0,43.0,43.0,complete_year
Prince Edward Island,2020,7.0,5.0,27.0,6.0,4,7.0,5.0,27.0,6.0,45.0,45.0,45.0,complete_year
Prince Edward Island,2021,20.0,21.0,89.0,43.0,4,20.0,21.0,89.0,43.0,173.0,173.0,173.0,complete_year
Prince Edward Island,2022,45.0,47.0,73.0,55.0,4,45.0,47.0,73.0,55.0,220.0,220.0,220.0,complete_year
Prince Edward Island,2023,76.0,120.0,159.0,147.0,4,76.0,120.0,159.0,147.0,502.0,502.0,502.0,complete_year
Prince Edward Island,2024,108.0,173.0,168.0,166.0,4,108.0,173.0,168.0,166.0,615.0,615.0,615.0,complete_year
Quebec,2017,1245.0,2028.0,2111.0,2409.0,4,1245.0,2028.0,2111.0,2409.0,7793.0,7793.0,7793.0,complete_year
Quebec,2018,2565.0,5119.0,4433.0,5725.0,4,2565.0,5119.0,4433.0,5725.0,17842.0,17842.0,17842.0,complete_year
Quebec,2019,3793.0,9374.0,7822.0,6058.0,4,3793.0,9374.0,7822.0,6058.0,27047.0,27047.0,27047.0,complete_year
Quebec,2020,5638.0,4469.0,8646.0,7391.0,4,5638.0,4469.0,8646.0,7391.0,26144.0,26144.0,26144.0,complete_year
Quebec,2021,6913.0,11831.0,10614.0,7676.0,4,6913.0,11831.0,10614.0,7676.0,37034.0,37034.0,37034.0,complete_year
Quebec,2022,10408.0,11105.0,12205.0,12163.0,4,10408.0,11105.0,12205.0,12163.0,45881.0,45881.0,45881.0,complete_year
Quebec,2023,11933.0,20131.0,24307.0,23431.0,4,11933.0,20131.0,24307.0,23431.0,79802.0,79802.0,79802.0,complete_year
Quebec,2024,23490.0,33984.0,40915.0,49368.0,4,23490.0,33984.0,40915.0,49368.0,147757.0,147757.0,147757.0,complete_year
Saskatchewan,2017,8.0,7.0,9.0,7.0,4,8.0,7.0,9.0,7.0,31.0,31.0,31.0,complete_year
Saskatchewan,2018,11.0,24.0,23.0,29.0,4,11.0,24.0,23.0,29.0,87.0,87.0,87.0,complete_year
Saskatchewan,2019,25.0,50.0,53.0,47.0,4,25.0,50.0,53.0,47.0,175.0,175.0,175.0,complete_year
Saskatchewan,2020,46.0,35.0,76.0,41.0,4,46.0,35.0,76.0,41.0,198.0,198.0,198.0,complete_year
Saskatchewan,2021,104.0,101.0,130.0,143.0,4,104.0,101.0,130.0,143.0,478.0,478.0,478.0,complete_year
Saskatchewan,2022,130.0,194.0,203.0,178.0,4,130.0,194.0,203.0,178.0,705.0,705.0,705.0,complete_year
Saskatchewan,2023,188.0,280.0,350.0,258.0,4,188.0,280.0,350.0,258.0,1076.0,1076.0,1076.0,complete_year
Saskatchewan,2024,265.0,336.0,414.0,379.0,4,265.0,336.0,414.0,379.0,1394.0,1394.0,1394.0,complete_year
Yukon,2017,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete_year
Yukon,2018,0.0,0.0,1.0,1.0,4,0.0,0.0,1.0,1.0,2.0,2.0,2.0,complete_year
Yukon,2019,1.0,4.0,4.0,0.0,4,1.0,4.0,4.0,0.0,9.0,9.0,9.0,complete_year
Yukon,2020,4.0,4.0,6.0,11.0,4,4.0,4.0,6.0,11.0,25.0,25.0,25.0,complete_year
Yukon,2021,13.0,20.0,26.0,8.0,4,13.0,20.0,26.0,8.0,67.0,67.0,67.0,complete_year
Yukon,2022,9.0,19.0,25.0,30.0,4,9.0,19.0,25.0,30.0,83.0,83.0,83.0,complete_year
Yukon,2023,24.0,40.0,41.0,49.0,4,24.0,40.0,41.0,49.0,154.0,154.0,154.0,complete_year
Yukon,2024,42.0,77.0,47.0,52.0,4,42.0,77.0,47.0,52.0,218.0,218.0,218.0,complete_year
